,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
228,228,LSR J1835+3259,18.5,0.073503276,0.10995641,63775684742.172
229,229,2MASSW J1841086+311727,138,0.063957396,0.10379063,58789749764.25756
230,230,2MASS J18432213+4040209,46,0.091640448,0.12537086,69736409801.1061
231,231,2MASS J20004841-7523070,105,0.0238647,0.19319444,11785020494.978592
232,232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,42465357183.57285
233,233,2MASSI J2057540-025230,47,0.06682116,0.10481826,60819948907.41894
234,234,2MASSI J2104149-103736,62,0.065866572,0.10481826,59951092494.455795
235,235,PSO J318.5−22,80,0.006204822,0.15722739,3765044456.1735525
236,236,HB 2124-4228,113,0.089731272,0.12434323,68847894937.93774
237,237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,42465357183.57285
238,238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,49235196734.57722
239,239,2MASSW J2206450-421721,93,0.021000936,0.13667479,14659502185.63352
240,240,2MASSW J2208136+292121,154,0.025773876,0.14489583,16970429512.76917
241,241,2MASSW J2224438-015852,38,0.058229868,0.10173537,54606309105.622
242,242,2MASS J22282889-4310262,35,0.040092696,0.09659722,39597668863.12807
243,243,2MASS J22373255+3922398,64,0.069684924,0.10687352,62206777412.72546
244,244,2MASSW J2244316+204343,56,0.011455056,0.13256427,8244032941.603627
245,245,2MASS J23224684-3133231,56,0.022910112,0.14284057,15301874093.048462
246,246,2MASS J23225299-6151275,148,0.016227996,0.16339317,9475452956.465807
247,247,2MASS J23515044-2537367,67,0.084003744,0.11920508,67231510023.767525
248,248,2MASSI J2356547-155310,74,0.07636704,0.11201167,65044663575.95524
249,249,WISE 0410+1502,20,0.005727528,0.12023271,4544787390.884051
250,250,WISE 0458+6434A,35.9,0.01431882,0.4316046,3165119790.079964
251,251,WISE 0458+6434B,35.9,0.00954588,0.3904994,2332193529.532605
252,252,WISE 1405+5534,25.3,0.02863764,0.08837618,1.0813298864015167e-11
